id,parameter,value,units,source,doi
1,latitude,49.2261,degrees_north,Christen et al. (website),https://ibis.geog.ubc.ca/~achristn/infrastructure/sunset.html
2,longitude,-123.0784,degrees_east,Christen et al. (website),https://ibis.geog.ubc.ca/~achristn/infrastructure/sunset.html
3,ground_height,78,m,"Chirsten, pers. comms.",-
4,measurement_height_above_ground,24.8,m,Crawford and Christen 2015,https://doi.org/10.1007/s00704-014-1124-0
5,impervious_area_fraction,0.68,1,Christen et al. (website),https://ibis.geog.ubc.ca/~achristn/infrastructure/sunset.html
6,tree_area_fraction,0.12,1,Christen et al. (website),https://ibis.geog.ubc.ca/~achristn/infrastructure/sunset.html
7,grass_area_fraction,0.2,1,Christen et al. (website),https://ibis.geog.ubc.ca/~achristn/infrastructure/sunset.html
8,bare_soil_area_fraction,0,1,Christen et al. (website),https://ibis.geog.ubc.ca/~achristn/infrastructure/sunset.html
9,water_area_fraction,0,1,Christen et al. (website),https://ibis.geog.ubc.ca/~achristn/infrastructure/sunset.html
10,roof_area_fraction,0.23,1,Christen et al. (website),https://ibis.geog.ubc.ca/~achristn/infrastructure/sunset.html
11,road_area_fraction,0.2,1,"estimated, see notes","derived from 0.45 total plan area of impervious ground (roads and paving) from [tower website](https://ibis.geog.ubc.ca/~achristn/infrastructure/sunset.html), and the proportion of road in impervious area from [Crawford and Christen (2015)](https://doi.org/10.1007/s00704-014-1124-0)"
12,other_paved_area_fraction,0.25,1,"estimated, see notes","derived from 0.45 total plan area of impervious ground (roads and paving) from [tower website](https://ibis.geog.ubc.ca/~achristn/infrastructure/sunset.html), and the proportion of road in impervious area from [Crawford and Christen (2015)](https://doi.org/10.1007/s00704-014-1124-0)"
13,building_mean_height,4.9,m,Christen et al. (website),https://ibis.geog.ubc.ca/~achristn/infrastructure/sunset.html
14,tree_mean_height,9,m,Crawford and Christen 2015,https://doi.org/10.1007/s00704-014-1124-0
15,roughness_length_momentum,1.7,m,Crawford and Christen 2015 (morphometric method),https://doi.org/10.1007/s00704-014-1124-0
16,displacement_height,2.6,m,Crawford and Christen 2015 (morphometric method),https://doi.org/10.1007/s00704-014-1124-0
17,canyon_height_width_ratio,0.15,1,"estimated, see notes",estimate from inspection of typical width between buildings (~32m) and building mean height (4.9)
18,wall_to_plan_area_ratio,0.18,1,"estimated, see notes","derived from Table 9 of [van der Laan (2012)](https://doi.org/10.14288/1.0103592) using mean building footprint and height, assuming square geometry of buildings"
19,average_albedo_at_midday,0.107,1,median of observations,-
20,resident_population_density,6410,person/km2,Christen et al. (website),https://ibis.geog.ubc.ca/~achristn/infrastructure/sunset.html
21,anthropogenic_heat_flux_mean,12.8,W/m2,Christen et al. 2011,https://doi.org/10.13140/RG.2.1.2862.4889
22,topsoil_clay_fraction,0.18,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525663
23,topsoil_sand_fraction,0.44,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525662
24,topsoil_bulk_density,940,kg/m3,Christen et al. 2013,https://doi.org/10.14288/1.0103594
25,building_height_standard_deviation,1.74,m,van der Laan et al. 2012,https://doi.org/10.14288/1.0103592
26,roughness_length_momentum_mac,0.14,m,Macdonald method,derived from morphology using eq. 26 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2)
27,displacement_height_mac,2.22,m,Macdonald method,derived from morphology using eq. 23 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2)
28,roughness_length_momentum_kanda,0.11,m,Kanda method,derived from morphology using eq. 12a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x)
29,displacement_height_kanda,5.18,m,Kanda method,derived from morphology using eq. 10a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x)