id,parameter,value,units,source,doi,,,,
1,latitude,51.7733,degrees_north,Fortuniak et al. (2013),http://doi.org/10.1007/s10546-012-9762-1,,,,
2,longitude,19.4811,degrees_east,Fortuniak et al. (2013),http://doi.org/10.1007/s10546-012-9762-1,,,,
3,ground_height,221,m,Fortuniak et al. (2013),http://doi.org/10.1007/s10546-012-9762-1,,,,
4,measurement_height_above_ground,42,m,Fortuniak et al. (2013),http://doi.org/10.1007/s10546-012-9762-1,,,,
5,impervious_area_fraction,0.65,1,-,-,,,,
6,tree_area_fraction,0.22,1,Fortuniak et al. (2006),http://meteo.geo.uni.lodz.pl/kf/publikacje_kf_PDF/r2006_ICUC6_p64_Fortuniak_etal.pdf,,,,
7,grass_area_fraction,0.09,1,Fortuniak et al. (2006),http://meteo.geo.uni.lodz.pl/kf/publikacje_kf_PDF/r2006_ICUC6_p64_Fortuniak_etal.pdf,,,,
8,bare_soil_area_fraction,0.04,1,Fortuniak et al. (2006),http://meteo.geo.uni.lodz.pl/kf/publikacje_kf_PDF/r2006_ICUC6_p64_Fortuniak_etal.pdf,,,,
9,water_area_fraction,0,1,-,-,,,,
10,roof_area_fraction,0.29,1,Fortuniak et al. (2013),http://doi.org/10.1007/s10546-012-9762-1,,,,
11,road_area_fraction,0.19,1,"Pawlak, pers. comms",-,,,,
12,other_paved_area_fraction,0.17,1,"Pawlak, pers. comms",-,,,,
13,building_mean_height,16,m,Fortuniak et al. (2013),http://doi.org/10.1007/s10546-012-9762-1,,,,
14,tree_mean_height,16,m,Fortuniak et al. (2013),http://doi.org/10.1007/s10546-012-9762-1,,,,
15,roughness_length_momentum,1.9,m,Fortuniak et al. (2013) (anemometric),http://doi.org/10.1007/s10546-012-9762-1,,,,
16,displacement_height,11,m,Fortuniak et al. (2013) (morphometric),http://doi.org/10.1007/s10546-012-9762-1,,,,
17,canyon_height_width_ratio,0.75,1,"estimated, see notes","Pawlak, pers. comms, assuming similar to PL-Lipowa",,,,
18,wall_to_plan_area_ratio,1.06,1,"estimated, see notes",derived from canyon h/w ratio and eq 1 from [Masson et al (2020)](htpps://doi.org/10.1016/j.uclim.2019.100536),,,,
19,average_albedo_at_midday,0.087,1,median of observations,-,,,,
20,resident_population_density,10380,person/km2,"Pawlak, pers. comms",derived from Statistics of Łódź 2018,,,,
21,anthropogenic_heat_flux_mean,8.8,W/m2,Varquez et al (2021),https://doi.org/10.1038/s41597-021-00850-w,,,,
22,topsoil_clay_fraction,0.15,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525663,,,,
23,topsoil_sand_fraction,0.48,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525662,,,,
24,topsoil_bulk_density,1130,kg/m3,OpenLandMap,https://doi.org/10.5281/zenodo.2525665,,,,
25,building_height_standard_deviation,13.1,m,"estimated, see notes",derived from morphology using eq. 2 of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,13.1
26,roughness_length_momentum_mac,1.99,m,Macdonald method,derived from morphology using eq. 26 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2),,,,
27,displacement_height_mac,8.62,m,Macdonald method,derived from morphology using eq. 23 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2),,,,
28,roughness_length_momentum_kanda,3.32,m,Kanda method,derived from morphology using eq. 12a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,
29,displacement_height_kanda,24.95,m,Kanda method,derived from morphology using eq. 10a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,